SINAL     NFT                         FFT                         NFT INVERSA     FFT INVERSA
-----     -----------------------     -----------------------     -----------     -----------
   69        8599.000       0.000            -nan        -nan              69            -nan
   81         215.193    -796.596            -nan        -nan              81            -nan
   54         272.090     201.174            -nan        -nan              54            -nan
  214         605.647     418.225            -nan        -nan             214            -nan
  203        -476.811     233.252            -nan        -nan             203            -nan
  128         213.694    1079.132     -1525642156829403504138346493725758293283527807665319467117719772397946643813094020964578234345198844493189313476984417604344495548633700120770299737650334112032609793377881312138047032271164095473542416865183997639679016346923509528009631642711954642408388581490716556400438634212259990077440.000 -845735553058090561678195253431814875490892657345015688967643379064512724928822384955665987104586258647259946521659183599428785326469182141006561069902911225451549954005627442259918587246769632749741530482985631728776472072948168212705033917590910462773771422082593922752600705793633434992640.000             128            -nan
  173        -294.733    -198.787            -nan        -nan             173            103729682699378090101502068307572541230245220672128228351883543238414944598885774521805386677766832457817580043029860328689938552901433442221608571098374531734163000421146043857203115661141548064553284380944312824632442880
   85        -932.650     322.577            -nan        -nan              85            -nan
   74        -869.521    -531.465           0.000      -0.000              74            -nan
  160         235.590     151.228       -2827.071      -0.000             160               0
  217        -597.080     381.175            -nan        -nan             217              -1
  147        -257.680     123.417           0.000      -0.000             147            -nan
  134         511.625      55.772          -0.000      34.442             134               0
  253        -168.665     624.471         -83.149       0.000             253               0
  109         -70.330    -120.368           0.000      -0.000             109              -0
  116          32.878     360.484            -nan        -nan             116              -0
  113         203.002    -392.000           0.000      -0.000             113            -3529377728953459403413742682112
  196        -632.005     139.832     -304805734727798366826193022822415341026943276907994329948923256275959469065516242701512280091260797797834682666365991002639278008941273755121919362650310815758163718365964987381271124916027761188283578792033168458342263813308287416381162151395655216214808732357922230436408084531521213769851879297122304.000 30020637703483356472373567668265092865071485337773934964906857752189765317536072064214513009743067729246212007137092247937324748158607155909866862589361498669949649613612289600250002119220210696430993059163286733084659329113309649482656133376864104231380899380303563249334961787410275751983396750884864.000             196              -0
   59         -42.223     545.729            -nan      -0.000              59            1145917800770026357622478731628638423436980685522236485674497429723018078090755984764837305215264338380248852542064009678363024353631161694305999671071762086131293329248445469299036510623727475272564835142565708049808331541385908953800655311748725956484571835614308990160288985092384424349088612352
   93         514.353    -366.360           0.000       0.035              93            -nan
  185         606.704     274.426     19422912545753923741861023389592015896351580604555504174583044811635698586558849774610102175601239136149302469250077746903460413947481373369924099373507561633654432748580432483399500906141347837808958192531629873078441324896216982487873355587348889579045206120275872636808265203712.000 46891113066467685585453342898696093149574049559556770384109579865742624928114094919327016327512015852873740318087069630244480063876894474477417127916997950246131108830569085532398192472108655734064063031252562940848871400382954230101733570775002423064481831024669564722860785664000.000             185              -0
  244         -62.295     -26.162           0.000       0.000             244            19326879371508592673274770311867633967665371028259822879191903165308074463954630936546101682980365940609297696856003916721592576180408476931559381128084945710400125671210047815498933457823605876008068605207623124566639346548378841954363466224165527224320
  181        -298.258       9.343           0.000      -0.000             181               0
  213        -267.534    -223.812           0.000      -0.000             213              -0
  201        -128.468    -475.464           0.000      -0.000             201              -0
  254         150.697     -10.783          -0.000       0.000             254               0
   65         -53.983    -139.384           0.000       0.000              65              -0
  153        -439.970    -473.164          -0.000       0.000             153               0
  188         254.466     223.912           0.000      -0.000             188              -0
   81        -382.104      62.948         -33.347       0.000              81              -0
   22         276.495     362.502           0.000       0.000              22              -0
    1        -329.157    -649.308            -nan        -nan               1               0
  163         239.000       0.010           0.000       0.000             163               0
   77        -329.184     649.290           0.000       0.000              77               0
  216         276.510    -362.499           0.000       0.000             216               0
  110        -382.102     -62.964           0.000       0.000             110               0
  205         254.475    -223.894           0.000       0.000             205               0
  133        -439.990     473.150           0.000       0.000             133               0
  195         -53.982     139.377           0.000       0.000             195               0
   23         150.698      10.788           0.000       0.000              23               0
   38        -128.489     475.454           0.000       0.000              38               0
  157        -267.540     223.787           0.000       0.000             157               0
  171        -298.246      -9.368           0.000       0.000             171               0
  172         -62.277      26.146           0.000       0.000             172               0
  154         606.727    -274.407           0.000       0.000             154               0
   24         514.332     366.370           0.000       0.000              24               0
   33         -42.213    -545.742           0.000       0.000              33               0
   11        -631.997    -139.857           0.000       0.000              11               0
  220         202.994     392.000           0.000       0.000             220               0
   92          32.895    -360.494           0.000       0.000              92               0
  105         -70.333     120.354           0.000       0.000             105               0
  150        -168.631    -624.485           0.000       0.000             150               0
   81         511.627     -55.750           0.000       0.000              81               0
   30        -257.684    -123.432           0.000       0.000              30               0
  108        -597.059    -381.199           0.000       0.000             108               0
   27         235.599    -151.211           0.000       0.000              27               0
   28        -869.542     531.425           0.000       0.000              28               0
  173        -932.610    -322.626           0.000       0.000             173               0
  181        -294.700     198.761           0.000       0.000             181               0
  217         213.776   -1079.128           0.000       0.000             217               0
  255        -476.756    -233.261           0.000       0.000             255               0
  203         605.719    -418.188           0.000       0.000             203               0
  219         272.158    -201.141           0.000       0.000             219               0
  162         215.273     796.613           0.000       0.000             162               0
